fullSpell,desc,count,countStr,countUnit,price,priceStr,priceUnit,border,bubbleDesc,icon,entityId,entityType,id,name,longitude,latitude,imageType,selected
c3611100501200,0.47万(1套),1,1套,套,4740,0.47万,元,"106.262032,29.289222;106.261722,29.289548;106.261902,29.289718;106.262171,29.290147;106.261731,29.290564;106.261637,29.290749;106.261394,29.290769;106.261098,29.290478;106.261246,29.290226;106.260653,29.289938;106.260608,29.289485;106.260357,29.28921;106.260011,29.288875;106.260204,29.288792;106.260348,29.28871;106.260721,29.288596;106.261075,29.288828",黄荆街,,3611100501200,resblock,3611100501200,黄荆街,106.261629,29.289222,30002,False
c3611100503395,0.33万(1套),1,1套,套,3255,0.33万,元,"106.261443,29.283857;106.262265,29.283648;106.262135,29.282581;106.261057,29.282534;106.260976,29.281715;106.260634,29.281723;106.260711,29.28251;106.260771,29.283287;106.261319,29.283201",津西花园,,3611100503395,resblock,3611100503395,津西花园,106.261625,29.283043,30002,False
c3611100541074,(1套),1,1套,套,0,,元,"106.264839,29.294915;106.263752,29.294561;106.263407,29.295274;106.264462,29.29562",大同路160号,,3611100541074,resblock,3611100541074,大同路160号,106.264125,29.295045,30002,False
c3616231087485615,0.41万(1套),1,1套,套,4128,0.41万,元,"106.264494,29.28365;106.263824,29.283854;106.263878,29.284496;106.264597,29.284402;106.264485,29.28365;106.263052,29.285847;106.262939,29.285776;106.262683,29.285867;106.26267,29.28604;106.262769,29.286123;106.263097,29.285855;106.263038,29.285851",城南商业街,,3616231087485615,resblock,3616231087485615,城南商业街,106.264165,29.284144,30002,False
c3616414065308043,0.49万(1套),1,1套,套,4914,0.49万,元,"106.261812,29.286249;106.261749,29.285926;106.262086,29.285886;106.262194,29.286036;106.262647,29.285642;106.262827,29.286083;106.26196,29.286666",变电站家属院,,3616414065308043,resblock,3616414065308043,变电站家属院,106.262258,29.286186,30002,False
c3617767178472433,0.34万(1套),1,1套,套,3430,0.34万,元,"106.258466,29.288454;106.258479,29.288249;106.258663,29.288304;106.258646,29.288477",三倒拐,,3617767178472433,resblock,3617767178472433,三倒拐,106.258568,29.288369,30002,False
c3620022235476531,0.55万(1套),1,1套,套,5497,0.55万,元,"106.257788,29.292305;106.257761,29.292218;106.257873,29.292179;106.257985,29.29225",天主教综合楼,,3620022235476531,resblock,3620022235476531,天主教综合楼,106.257872,29.292269,30002,False
c3620039877165935,0.53万(1套),1,1套,套,5252,0.53万,元,,清平巷国土局家...,,3620039877165935,resblock,3620039877165935,清平巷国土局家属院,106.26400686594,29.291534747454,30002,False
c3620046396421586,0.46万(1套),1,1套,套,4602,0.46万,元,,清平巷教委家属...,,3620046396421586,resblock,3620046396421586,清平巷教委家属院,106.2647948111,29.292085386323,30002,False
c367760446501012,0.27万(1套),1,1套,套,2658,0.27万,元,"106.262751,29.293962;106.261987,29.293636;106.262189,29.29338;106.262661,29.292927;106.262859,29.292585;106.26267,29.292376;106.262701,29.292191;106.262989,29.292215;106.262634,29.293399;106.262414,29.293041;106.262495,29.29301;106.262634,29.292903;106.262989,29.293636;106.262755,29.293966;106.262751,29.293903;106.26258,29.292947;106.262998,29.293628;106.262746,29.293935;106.262746,29.293943",天香街,,367760446501012,resblock,367760446501012,天香街,106.262575,29.293528,30002,False
c367891419410701,0.38万(1套),1,1套,套,3791,0.38万,元,"106.25675,29.292132;106.257082,29.291974;106.257518,29.29262;106.257195,29.292726",津辉花园,,367891419410701,resblock,367891419410701,津辉花园,106.257105,29.292344,30002,False
c369770665783060,0.29万(1套),1,1套,套,2918,0.29万,元,"106.258331,29.291505;106.257779,29.290879;106.257073,29.291529;106.2571,29.291683;106.257509,29.291994",斑竹巷街,,369770665783060,resblock,369770665783060,斑竹巷街,106.257594,29.291547,30002,False
